id,ancien_nom,nouveau_nom,categorie,image
cat-1,1045,1045 — Livre MBS rouge et jaune,locomotive,img/catalog/A_P/MBS_1045_R.gif
cat-4,ET 10.101,ET 10.101 — Livre MBS rouge et jaune,wagon,img/catalog/A_P/MBS_ET10_101_R.gif
cat-9,ET 10.107 et 108,ET 10.107 et 108 — Colibri / NPZ — Colibri de 2me srie achetes neuves,wagon,img/catalog/A_P/MBS_ET10_107_L1_R.gif
cat-10,ES 10.207 et 208,ES 10.207 et 208 — Colibri / NPZ — Voitures pilotes correspondantes,wagon,img/catalog/A_P/MBS_ES10_207_L1_R.gif
cat-11,ET 10.107 et 108,"ET 10.107 et 108 — Colibri / NPZ — Livre S Bahn Vorarlberg, applique en 2014 l'ET 10.107",wagon,img/catalog/A_P/MBS_ET10_107_SBV_R.gif
cat-12,ES 10.207 et 208,"ES 10.207 et 208 — Colibri / NPZ — Voitures pilotes, livre S Bahn Vorarlberg, applique en…",wagon,img/catalog/A_P/MBS_ES10_207_SBV_R.gif
cat-15,ET 10.101,ET 10.101 — ET 10.109 et 10 — Livre MBS rouge et jaune,wagon,img/catalog/A_P/MBS_ET10_109_R.gif
cat-16,VT 10.110,"VT 10.110 — Schienenbus — Autorails type VT 95, 2 exemplaires : VT 11 et 12, puis…",wagon,img/catalog/A_P/MBS_VT10_110_L1_R.gif
cat-17,VT 10.110,VT 10.110 — Schienenbus — Logo MBS,wagon,img/catalog/A_P/MBS_VT10_110_L2_R.gif
cat-18,VS 10.210,"VS 10.210 — Schienenbus — Remorque pilote type VS 95 allong, 1 exemplaire : VS 21…",wagon,img/catalog/A_P/MBS_VS10_210_L1_R.gif
cat-19,VS 10.210,VS 10.210 — Schienenbus — Logo MBS,wagon,img/catalog/A_P/MBS_VS10_210_L2_R.gif
cat-21,ES 64 U2,ES 64 U2 — Locomotives lectriques — Loues Siemens Dispolok,locomotive,img/catalog/A_P/CargoServ_ES64U2_R.gif
cat-22,1216,1216 — Locomotives lectriques — 1216 930 933,locomotive,img/catalog/A_P/CargoServ_1216_R.gif
cat-24,Shimmns 718,Shimmns 718 — Wagons — Wagons ex DB lous OnRail [LogServ_Shimmns718_Onrail_L1],wagon,img/catalog/A_P/LogServ_Shimmns718_Onrail_L1.gif
cat-25,Shimmns 718,Shimmns 718 — Wagons — Wagons ex DB lous OnRail [LogServ_Shimmns718_Onrail_L2],wagon,img/catalog/A_P/LogServ_Shimmns718_Onrail_L2.gif
cat-26,Shimmns,"Shimmns — Wagons — Lous VTG, bche VTG bleue avec logo LogServ",wagon,img/catalog/A_P/LogServ_Shimmns_VTG.gif
cat-27,Shimmns,Shimmns — Wagons — Bche gris clair,wagon,img/catalog/A_P/LogServ_Shimmns.gif
cat-28,VT 10,"VT 10 — Schienenbus — Autorails type VT 95, mais avec 2 moteurs [GKB_VT10_1S_L1]",wagon,img/catalog/A_P/GKB_VT10_1S_L1_R.gif
cat-29,VT 10,"VT 10 — Schienenbus — Autorails type VT 95, mais avec 2 moteurs [GKB_VT10_2S_L1]",wagon,img/catalog/A_P/GKB_VT10_2S_L1_L.gif
cat-32,VB 30,"VB 30 — Schienenbus — Remorque sans cabine de conduite VB 95 ex DB, acquises au…",wagon,img/catalog/A_P/GKB_VB30_L0_R.gif
cat-33,VB 30,"VB 30 — Schienenbus — Seuils de portes modifis, livre GKB, Logo d'origine",wagon,img/catalog/A_P/GKB_VB30_L1_R.gif
