id,name,seriesName,imageData,oldCargoTypes,newCargoTypes,evidence
cat-100,Laas,"Plats spciaux (L et S) — Utiliss pour le ""Touareg Express"" : transport de caisses de 10' vers Bratislawa, contenant des lments de carrosserie de VW Touareg.",img/catalog/A_P/StLB_Laas.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,automotive-parts,automotive-parts:description MLG: pièces automobiles
cat-393,Xds,Wagons — Trmies  ballast.,img/catalog/Suisse/BLS/W/BLS_Xds_R.gif,general,ballast,ballast:description MLG: ballast
cat-757,Ealos-t,A bogies — Wagons ex DB pour transport de bois. Toujours immatriculés en Allemagne.,img/catalog/CD/W/CD_Ealost_R.gif,general,timber,timber:description MLG: bois/grumes/troncs
cat-1278,Sps,Plats spciaux  bogies (S) — Pour transport de grumes. Avec nouveau logo CFF.,img/catalog/Suisse/CFF/W/CFF_Sps_E5.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,timber,timber:description MLG: bois/grumes/troncs
cat-1279,Shimmns,Plats spciaux  bogies (S) — Pour transport de coils. Livre vert ptrole.,img/catalog/Suisse/CFF/W/CFF_Shimmns_V_R.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,steel-coils,steel-coils:description MLG: coils/rouleaux de tôles
cat-1331,Shimmnss,"S : plats  bogies spciaux — Wagons bchs pour transport de coils. Livre brune, deuxime logo CFL Cargo.",img/catalog/CFLCargo/W/CFLC_Shimmnss_BL2_R.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,steel-coils,steel-coils:description MLG: coils/rouleaux de tôles
cat-1332,Shimmnss,"S : plats  bogies spciaux — Wagons bchs pour transport de coils. Livre brune, troisime logo CFL Cargo.",img/catalog/CFLCargo/W/CFLC_Shimmnss_BL3_R.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,steel-coils,steel-coils:description MLG: coils/rouleaux de tôles
cat-1333,Shimmns,S : plats  bogies spciaux — Wagons bchs pour transport de coils. Lous  ERR.,img/catalog/CFLCargo/W/CFLC_Shimmns_ERR.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,steel-coils,steel-coils:description MLG: coils/rouleaux de tôles
cat-1421,Shimmnss,S : plats spciaux  bogies — Wagons bchs pour transport de coils. Livre brune avec logo EuroLuxCargo.,img/catalog/CFL/W/CFL_Shimmnss_EuroLuxCargoB_R.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,steel-coils,steel-coils:description MLG: coils/rouleaux de tôles
cat-1422,Shimmnss,S : plats spciaux  bogies — Wagons bchs pour transport de coils. Livre grise avec logo EuroLuxCargo.,img/catalog/CFL/W/CFL_Shimmnss_EuroLuxCargoG_R.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,steel-coils,steel-coils:description MLG: coils/rouleaux de tôles
cat-1423,Slps,S : plats spciaux  bogies — Transport de 3 caisses type ACTS.,img/catalog/CFL/W/CFL_Slps1_L.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,acts-containers,acts-containers:description MLG: caisses ACTS
cat-1425,Tdgs,T : tombereaux couverts — Transport de crales.,img/catalog/CFL/W/CFL_Tdgs.gif,general|paper|wood|sugar|salt|fertilizer|cement|flour|grain,grain,grain:description/nom MLG: céréalier/grains
cat-1458,Facc,"Trmies pour transport de gravier — Type SWP (Schindler Waggon Pratteln) de 1962, avec rehausse. Premire livre Weiacher Kies.",img/catalog/Suisse/WP/WK_Facc_SWP62H_L1_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1459,Faccs,Trmies pour transport de gravier — Mme type aprs rvision et changement de bogies (Y25 mouls en provenance de wagons CFF rforms). Livre Weiacher actuelle.,img/catalog/Suisse/WP/WK_Faccs_SWP62HRG_L2_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1460,Faccs,"Trmies pour transport de gravier — Type JMR (Josef Meyer AG, Rheinfelden) avec rehausse. Premire livre Weiacher Kies.",img/catalog/Suisse/WP/WK_Faccs_JMR_L1_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1461,Faccs,Trmies pour transport de gravier — Type JMR. Livre Weiacher actuelle.,img/catalog/Suisse/WP/WK_Faccs_JMR_L2_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1462,Faccs,Trmies pour transport de gravier — Type JMR avec rehausse. Livre Holcim.,img/catalog/Suisse/WP/Holcim_Faccs_JMR_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1463,Faccs,Trmies pour transport de gravier — Type JMR. Premire livre Makies AG.,img/catalog/Suisse/WP/Makies_Faccs_JMR_L1_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1464,Faccs,Trmies pour transport de gravier — Avec ouverture hydraulique des trappes. Deuxime livre Makies AG.,img/catalog/Suisse/WP/Makies_Faccs_JMR_L2_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1465,Falls,Trmies pour transport de gravier — Premier type. Premire livre Makies AG.,img/catalog/Suisse/WP/Makies_Falls_1S_L1_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1466,Falls,Trmies pour transport de gravier — Avec ouverture hydraulique des trappes. Deuxime livre Makies AG.,img/catalog/Suisse/WP/Makies_Falls_1S_L2_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1467,Falls,Trmies pour transport de gravier — Deuxime type. Premire livre Makies AG.,img/catalog/Suisse/WP/Makies_Falls_2S_L1_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1468,Falls,Trmies pour transport de gravier — Avec ouverture hydraulique des trappes. Deuxime livre Makies AG.,img/catalog/Suisse/WP/Makies_Falls_2S_L2_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1469,Falls,Trmies pour transport de gravier — Variante avec rehausse. Premire livre Makies AG.,img/catalog/Suisse/WP/Makies_Falls_2SH_L1_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-1470,Falls,Trmies pour transport de gravier — Avec ouverture hydraulique des trappes. Deuxime livre Makies AG.,img/catalog/Suisse/WP/Makies_Falls_2SH_L2_R.gif,general,gravel,gravel:description/nom MLG: gravier
cat-2149,Sgss 703,"Wagons porte containers — Bogies spciaux pour vitesses jusqu' 160 Km/h, pour services dans les trains InterCargoExpress. Transport combin, 60 pieds. Livre blanche avec deuxime logo Kombiwaggon.",img/catalog/DB/W/KOWAG_Sgss703.gif,containers|general|steel|wood,containers,containers:description MLG: conteneurs
cat-2150,Sggnos 715,Wagons porte containers — Wagon articul pour transport combin. Premier logo Kombiwaggon.,img/catalog/DB/W/KOWAG_Sggnos715_L1.gif,containers|general|steel|wood,containers,containers:description MLG: conteneurs
cat-2151,Sggnos 715,Wagons porte containers — Deuxime logo Kombiwaggon.,img/catalog/DB/W/KOWAG_Sggnos715_L2.gif,general,containers,containers:description MLG: conteneurs
cat-2152,Sdggnos 744,Wagons porte containers — Wagon articul avec une caisse pour transport combin et une caisse permettant en plus le transport de remorques routires. Deuxime logo Kombiwaggon.,img/catalog/DB/W/KOWAG_Sdggnos744_R.gif,containers|general|steel|wood,containers|semi-trailers,semi-trailers:description MLG: semi-remorques | containers:description MLG: conteneurs
cat-3232,U-x 150,Plats pour transport de ballast ou de dblais — Ex Kkklms 440.,img/catalog/DB/Service/DB_Ux150.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,ballast|excavated-material,ballast:description MLG: ballast | excavated-material:description MLG: déblais
cat-3233,U-x 151,"Plats pour transport de ballast ou de dblais — Ex Klm 506, version avec bords en bois.",img/catalog/DB/Service/DB_Ux151_HS.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,ballast|excavated-material,ballast:description MLG: ballast | excavated-material:description MLG: déblais
cat-3234,U-x 151,"Plats pour transport de ballast ou de dblais — Ex Klm 506, version avec bords en mtal.",img/catalog/DB/Service/DB_Ux151_MS.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,ballast|excavated-material,ballast:description MLG: ballast | excavated-material:description MLG: déblais
cat-3235,U-x 152,Plats pour transport de ballast ou de dblais — Ex Kbs/Kls 442/3. Premire srie de transformation.,img/catalog/DB/Service/DB_Ux152.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,ballast|excavated-material,ballast:description MLG: ballast | excavated-material:description MLG: déblais
cat-3236,U-x 153,"Plats pour transport de ballast ou de dblais — Ex Kbs/Kls 442/3. Deuxime srie de transformation, se reconnait  sa bande jaune place diffremment.",img/catalog/DB/Service/DB_Ux153.gif,steel|steel-coils|steel-sheet|steel-beams|containers|wood|vehicles|sinter|pig-iron|scrap,ballast|excavated-material,ballast:description MLG: ballast | excavated-material:description MLG: déblais
cat-4493,Ealos-t 058,Tombereaux  bogies ex DR — 500 Eas 066 transforms  la fin des annes '90 avec montage de dossiers hauts pour transport de bois. Logo DB AG.,img/catalog/DB/W/DB_Ealost058_K.gif,general,timber,timber:description MLG: bois/grumes/troncs
cat-4498,Ealos 053,Tombereaux  bogies ex DR — Wagons pour le transport de copeaux de bois obtenus  partir de 1996 par modification de wagons de l'ex-DR (Eas 070). Bogies Niesky d'origine.,img/catalog/DB/W/DB_Ealos053_K.gif,general,wood-chips,wood-chips:description MLG: copeaux de bois
cat-4524,OOtz 41,"Gnration ""OOt Saarbrucken"" — Version courte conue pour initialement pour le transport de charbon. Caisses hautes.",img/catalog/DB/W/DB_OOtz41_R.gif,general,coal,coal:description MLG: charbon/houille
cat-4525,OOtz 41,"Gnration ""OOt Saarbrucken"" — Avec inscriptions ErzIIId, pour une partie du parc renforce pour le transport de minerai de fer.",img/catalog/DB/W/DB_OOtz41_ErzIIId_R.gif,general,ore,ore:description MLG: minerai de fer/Erz
cat-4527,OOt 42,"Trmies  bogies  2 essieux, types d'avant-guerre — Version allonge de 2m pour transport de coke. Caisses hautes.",img/catalog/DB/W/DB_OOt42_R.gif,general,coke,coke:description MLG: coke
cat-4529,OOtz 43,"Trmies  bogies  2 essieux, types d'avant-guerre — Version courte conue ds l'origine pour le transport de minerai de fer, avec caisse moins haute. Inscriptions ErzIId.",img/catalog/DB/W/DB_OOtz43_ErzIId_R.gif,general,ore,ore:description MLG: minerai de fer/Erz
